                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    123,                 1.0376,                0.53616,                 1.0662,                0.92538,                0.90881,                0.94044,                0.58491,                 1.1697,                0.52407,                 1.1905,               0.005974,               0.005974,               0.005974
                    124,                 1.0527,                0.55023,                 1.0756,                0.95876,                0.89765,                0.94321,                0.56035,                 1.2139,                0.52807,                 1.2131,               0.005941,               0.005941,               0.005941
                    125,                 1.0512,                0.54574,                 1.0778,                0.95777,                0.90128,                0.95272,                0.59531,                 1.1666,                0.53368,                 1.2045,               0.005908,               0.005908,               0.005908
                    126,                 1.0488,                0.53826,                  1.067,                0.95772,                0.87691,                0.94189,                0.58885,                 1.1428,                0.54145,                 1.1747,               0.005875,               0.005875,               0.005875
                    127,                 1.0425,                0.53441,                 1.0631,                0.87159,                0.85882,                0.90832,                0.55906,                 1.1578,                0.53641,                 1.1914,               0.005842,               0.005842,               0.005842
                    128,                 1.0696,                0.54825,                 1.0623,                 0.9283,                0.89221,                0.93697,                0.57579,                 1.1658,                0.53071,                  1.195,               0.005809,               0.005809,               0.005809
                    129,                 1.0354,                0.54749,                 1.0753,                0.87449,                0.91869,                  0.948,                0.57927,                 1.1738,                0.51601,                 1.1821,               0.005776,               0.005776,               0.005776
                    130,                 1.0419,                0.53771,                  1.067,                0.91915,                0.89224,                0.92419,                0.58039,                 1.1278,                0.50912,                 1.1738,               0.005743,               0.005743,               0.005743
                    131,                 1.0361,                 0.5335,                 1.0641,                 0.9309,                0.85784,                0.91226,                0.59245,                 1.1202,                0.51869,                 1.1672,                0.00571,                0.00571,                0.00571
                    132,                 1.0257,                0.53308,                 1.0605,                0.87581,                0.86825,                0.90485,                0.56617,                 1.1436,                0.51091,                 1.1886,               0.005677,               0.005677,               0.005677
                    133,                 1.0274,                0.54376,                 1.0655,                0.88835,                0.89458,                0.93554,                0.57812,                 1.1643,                0.52354,                  1.199,               0.005644,               0.005644,               0.005644
                    134,                 1.0499,                0.53865,                 1.0652,                0.98057,                0.87064,                0.95232,                0.62327,                 1.1179,                  0.498,                 1.1598,               0.005611,               0.005611,               0.005611
                    135,                 1.0176,                0.52773,                 1.0569,                0.90973,                0.90379,                0.93359,                0.58339,                 1.1191,                0.50748,                 1.1674,               0.005578,               0.005578,               0.005578
                    136,                 1.0363,                0.53134,                 1.0646,                0.87513,                0.91592,                0.92726,                0.59452,                  1.138,                0.49836,                  1.178,               0.005545,               0.005545,               0.005545
                    137,                 1.0372,                0.53697,                  1.058,                0.88487,                0.86269,                0.89872,                0.56615,                 1.1548,                0.53329,                 1.1917,               0.005512,               0.005512,               0.005512
                    138,                 1.0145,                 0.5263,                 1.0635,                0.89914,                   0.89,                0.93433,                0.57917,                 1.1178,                0.50206,                 1.1779,               0.005479,               0.005479,               0.005479
                    139,                 1.0128,                0.52146,                 1.0548,                0.98054,                0.89596,                0.93887,                0.59998,                 1.1482,                0.52301,                 1.1834,               0.005446,               0.005446,               0.005446
                    140,                 1.0293,                0.53667,                 1.0722,                0.97678,                0.88406,                0.94139,                0.60755,                 1.1258,                 0.5158,                 1.1663,               0.005413,               0.005413,               0.005413
                    141,                 1.0069,                0.51857,                 1.0572,                0.94252,                 0.9012,                 0.9559,                0.59897,                 1.1423,                0.51143,                 1.1771,                0.00538,                0.00538,                0.00538
                    142,                 1.0021,                0.51717,                 1.0507,                0.91146,                0.91818,                0.94708,                0.59397,                 1.1187,                0.50675,                 1.1676,               0.005347,               0.005347,               0.005347
                    143,                 1.0272,                0.53077,                 1.0599,                0.96007,                 0.9212,                0.95848,                0.61444,                 1.1212,                 0.5087,                 1.1712,               0.005314,               0.005314,               0.005314
                    144,                 1.0206,                0.52852,                 1.0616,                0.95693,                0.89375,                0.95051,                0.59319,                 1.1732,                0.50817,                 1.1963,               0.005281,               0.005281,               0.005281
                    145,                 1.0026,                0.51485,                  1.063,                0.91849,                0.91658,                0.94387,                0.60276,                 1.1398,                0.50986,                 1.1844,               0.005248,               0.005248,               0.005248
                    146,                 1.0245,                0.52269,                 1.0405,                0.94412,                0.86605,                 0.9368,                0.58322,                 1.1662,                0.51893,                  1.193,               0.005215,               0.005215,               0.005215
                    147,                0.99846,                0.50872,                 1.0431,                0.91877,                0.89128,                0.92334,                0.61796,                 1.1544,                0.50784,                 1.1855,               0.005182,               0.005182,               0.005182
                    148,                 1.0031,                0.51615,                 1.0439,                0.91565,                0.91535,                0.93012,                0.59149,                 1.1216,                0.50302,                 1.1721,               0.005149,               0.005149,               0.005149
                    149,                  1.005,                0.51282,                 1.0319,                0.93458,                0.90324,                0.94217,                0.59862,                 1.1509,                0.51147,                 1.1856,               0.005116,               0.005116,               0.005116
                    150,                  1.002,                0.50796,                 1.0511,                 0.8794,                0.91156,                0.93267,                 0.5695,                 1.1665,                0.51418,                 1.2021,               0.005083,               0.005083,               0.005083
                    151,                0.99016,                 0.5026,                 1.0288,                0.94845,                0.87956,                0.94977,                0.59281,                 1.1374,                0.49879,                 1.1905,                0.00505,                0.00505,                0.00505
                    152,                 1.0108,                0.51656,                 1.0461,                0.93329,                0.88317,                0.93951,                 0.6016,                 1.1191,                0.49577,                 1.1785,               0.005017,               0.005017,               0.005017
                    153,                0.99642,                0.51047,                  1.047,                0.94606,                0.85813,                0.92602,                0.57339,                 1.1529,                0.50862,                 1.2157,               0.004984,               0.004984,               0.004984
                    154,                  1.002,                0.51197,                 1.0387,                0.89706,                0.90465,                0.95341,                0.61959,                 1.1369,                0.50207,                 1.1836,               0.004951,               0.004951,               0.004951
